Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,012565","-0,015002","1,115",0,0,0,3,"0,007227","-9,6647E-18","-0,00067265","0,011719","-4,1083E-18","0,014099",0,0,0,0,0,0,package://Ensamblajefullv6/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblajefullv6/meshes/base_link.STL,,basebox-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BaseR,"0,0078866","0,0026077","0,02651",0,0,0,"0,25","0,0011673","-1,5261E-05","-0,00011283","0,0012563","-2,409E-05","0,0019548",0,0,0,0,0,0,package://Ensamblajefullv6/meshes/BaseR.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblajefullv6/meshes/BaseR.STL,,Gearedbase-1,Origin_R1,Axis_R1,R1,continuous,"-0,0541212640299427","-1,14500000000001","-0,0150018955467125","1,57079632679489","-1,56377472859413",0,base_link,0,0,1,,,,,,,,,,,,
Arm1,"-0,020414","-6,1851E-05","0,082682",0,0,0,"0,15","0,0010516","1,5848E-07","-1,1229E-05","0,00096052","1,6129E-07","0,00013862",0,0,0,0,0,0,package://Ensamblajefullv6/meshes/Arm1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblajefullv6/meshes/Arm1.STL,,GearedArm1-1,Origin_R2,Axis_R2,R2,continuous,"0,0400000000000003",0,"0,0649999999999988","-0,470162054989727",0,"1,5707963267949",BaseR,1,0,0,,,,,,,,,,,,
Arm2,"2,4367E-06","0,052614","0,02152",0,0,0,"0,1","0,00091559","-1,7395E-08","4,0709E-09","0,00015629","-4,3557E-05","0,00095733",0,0,0,0,0,0,package://Ensamblajefullv6/meshes/Arm2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Ensamblajefullv6/meshes/Arm2.STL,,Ebrazov2-1,Origin_R3,Axis_R3,R3,continuous,0,0,"0,18","-1,5708","-1,0832","-1,5708",Arm1,0,0,1,,,,,,,,,,,,
