t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.3800,41.5381,80.4762,-130.7546,-1957.3571,146.1983,-238.0871,65245.2358,-4873.2750,7936.2352,138.3351,122.5528,39.0706
0.3900,26.8398,81.5740,-132.5424,-869.9365,64.9770,-105.8165,130490.4717,-9746.5501,15872.4704,160.3685,81.1479,38.2333
0.4000,23.5594,81.8191,-132.9414,0.0000,-0.0000,0.0000,0.0000,-0.0000,0.0000,163.7062,71.3835,38.0403
0.4100,23.5594,80.9154,-133.4156,0.0000,-239.6532,-125.7565,0.0000,-35947.9788,-18863.4800,163.1604,71.1455,34.9380
0.4200,23.5594,76.8662,-135.5404,0.0000,-539.2197,-282.9522,0.0000,-17973.9894,-9431.7400,159.9394,69.7410,21.5312
0.4300,23.5594,71.1695,-138.5297,0.0000,-539.2197,-282.9522,0.0000,17973.9894,9431.7400,153.4346,66.9046,4.2361
0.4400,23.5594,67.1203,-140.6545,0.0000,-239.6532,-125.7565,0.0000,35947.9788,18863.4800,147.5830,64.3531,-6.7798
0.4500,23.5594,66.2166,-141.1287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.1542,63.7300,-9.0811
0.4600,23.5594,67.1203,-140.6545,0.0000,239.6532,125.7565,0.0000,35947.9788,18863.4800,147.5830,64.3531,-6.7798
0.4700,23.5594,71.1695,-138.5297,0.0000,539.2197,282.9522,0.0000,17973.9894,9431.7400,153.4346,66.9046,4.2361
0.4800,23.5594,76.8662,-135.5404,0.0000,539.2197,282.9522,0.0000,-17973.9894,-9431.7400,159.9394,69.7410,21.5312
0.4900,23.5594,80.9154,-133.4156,0.0000,239.6532,125.7565,0.0000,-35947.9788,-18863.4800,163.1604,71.1455,34.9380
0.5000,23.5594,81.8191,-132.9414,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,163.7062,71.3835,38.0403
0.5100,25.9568,81.3390,-132.1448,635.7709,-127.3190,211.2581,95365.6422,-19097.8528,31688.7135,162.6129,79.1600,38.4457
0.5200,36.6987,79.1878,-128.5754,1430.4846,-286.4678,475.3307,47682.8211,-9548.9264,15844.3567,153.0897,114.1042,40.1610
0.5300,51.8115,76.1613,-123.5537,1430.4846,-286.4678,475.3307,-47682.8211,9548.9264,-15844.3567,126.6854,161.0549,42.2940
0.5400,62.5534,74.0102,-119.9843,635.7709,-127.3190,211.2581,-95365.6422,19097.8528,-31688.7135,98.9512,190.5167,43.6112
0.5500,64.9508,73.5301,-119.1877,-0.0000,0.0000,-0.0000,0.0000,-0.0000,0.0000,91.8103,196.4470,43.8827
0.5600,64.9508,72.9108,-119.5661,0.0000,-164.2263,-100.3609,0.0000,-24633.9376,-15054.1310,91.6418,196.0865,41.1499
0.5700,64.9508,70.1360,-121.2618,0.0000,-369.5091,-225.8120,0.0000,-12316.9688,-7527.0655,90.6629,193.9919,29.1559
0.5800,64.9508,66.2323,-123.6474,0.0000,-369.5091,-225.8120,0.0000,12316.9688,7527.0655,88.6948,189.7808,13.0665
0.5900,64.9508,63.4575,-125.3431,0.0000,-164.2263,-100.3609,0.0000,24633.9376,15054.1310,86.9052,185.9515,2.2671
0.6000,64.9508,62.8382,-125.7216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.4642,185.0079,-0.0646
0.6100,64.9508,63.4575,-125.3431,0.0000,164.2263,100.3609,0.0000,24633.9376,15054.1310,86.9052,185.9515,2.2671
0.6200,64.9508,66.2323,-123.6474,0.0000,369.5091,225.8120,0.0000,12316.9688,7527.0655,88.6948,189.7808,13.0665
0.6300,64.9508,70.1360,-121.2618,0.0000,369.5091,225.8120,0.0000,-12316.9688,-7527.0655,90.6629,193.9919,29.1559
0.6400,64.9508,72.9108,-119.5661,0.0000,164.2263,100.3609,0.0000,-24633.9376,-15054.1310,91.6418,196.0865,41.1499
0.6500,64.9508,73.5301,-119.1877,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,91.8103,196.4470,43.8827
0.6600,62.5534,74.0102,-119.9843,-635.7709,127.3190,-211.2581,-95365.6422,19097.8528,-31688.7135,98.9512,190.5167,43.6112
0.6700,51.8115,76.1613,-123.5537,-1430.4846,286.4678,-475.3307,-47682.8211,9548.9264,-15844.3567,126.6854,161.0549,42.2940
0.6800,36.6987,79.1878,-128.5754,-1430.4846,286.4678,-475.3307,47682.8211,-9548.9264,15844.3567,153.0897,114.1042,40.1610
0.6900,25.9568,81.3390,-132.1448,-635.7709,127.3190,-211.2581,95365.6422,-19097.8528,31688.7135,162.6129,79.1600,38.4457
0.7000,23.5594,81.8191,-132.9414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,163.7062,71.3835,38.0403
0.7100,23.5594,80.9154,-133.4156,0.0000,-239.6532,-125.7565,0.0000,-35947.9788,-18863.4800,163.1604,71.1455,34.9380
0.7200,23.5594,76.8662,-135.5404,0.0000,-539.2197,-282.9522,0.0000,-17973.9894,-9431.7400,159.9394,69.7410,21.5312
0.7300,23.5594,71.1695,-138.5297,0.0000,-539.2197,-282.9522,0.0000,17973.9894,9431.7400,153.4346,66.9046,4.2361
0.7400,23.5594,67.1203,-140.6545,0.0000,-239.6532,-125.7565,0.0000,35947.9788,18863.4800,147.5830,64.3531,-6.7798
0.7500,23.5594,66.2166,-141.1287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.1542,63.7300,-9.0811
0.7600,23.5594,67.1203,-140.6545,0.0000,239.6532,125.7565,0.0000,35947.9788,18863.4800,147.5830,64.3531,-6.7798
0.7700,23.5594,71.1695,-138.5297,0.0000,539.2197,282.9522,0.0000,17973.9894,9431.7400,153.4346,66.9046,4.2361
0.7800,23.5594,76.8662,-135.5404,0.0000,539.2197,282.9522,0.0000,-17973.9894,-9431.7400,159.9394,69.7410,21.5312
0.7900,23.5594,80.9154,-133.4156,0.0000,239.6532,125.7565,0.0000,-35947.9788,-18863.4800,163.1604,71.1455,34.9380
0.8000,23.5594,81.8191,-132.9414,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,163.7062,71.3835,38.0403
0.8100,25.2470,80.9240,-131.4112,447.5383,-237.3607,405.8065,67130.7513,-35604.1107,60870.9748,165.4462,78.0190,38.8796
0.8200,32.8086,76.9136,-124.5548,1006.9613,-534.0617,913.0646,33565.3757,-17802.0553,30435.4874,169.8071,109.4691,42.3162
0.8300,43.4469,71.2713,-114.9084,1006.9613,-534.0617,913.0646,-33565.3757,17802.0553,-30435.4874,165.5787,156.8371,46.2531
0.8400,51.0085,67.2609,-108.0520,447.5383,-237.3607,405.8065,-67130.7513,35604.1107,-60870.9748,154.6926,191.0871,48.4151
0.8500,52.6961,66.3659,-106.5217,-0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,151.3495,198.6462,48.8259
0.8600,52.6961,65.8487,-106.8717,0.0000,-137.1489,-92.8067,0.0000,-20572.3393,-13921.0009,151.1756,198.4180,46.0992
0.8700,52.6961,63.5315,-108.4397,0.0000,-308.5851,-208.8150,0.0000,-10286.1696,-6960.5004,150.1229,197.0363,34.0570
0.8800,52.6961,60.2713,-110.6458,0.0000,-308.5851,-208.8150,0.0000,10286.1696,6960.5004,147.9102,194.1321,17.6677
0.8900,52.6961,57.9541,-112.2139,0.0000,-137.1489,-92.8067,0.0000,20572.3393,13921.0009,145.8429,191.4188,6.4709
0.9000,52.6961,57.4369,-112.5638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,145.3279,190.7428,4.0282
0.9100,52.6961,57.9541,-112.2139,0.0000,137.1489,92.8067,0.0000,20572.3393,13921.0009,145.8429,191.4188,6.4709
0.9200,52.6961,60.2713,-110.6458,0.0000,308.5851,208.8150,0.0000,10286.1696,6960.5004,147.9102,194.1321,17.6677
0.9300,52.6961,63.5315,-108.4397,0.0000,308.5851,208.8150,0.0000,-10286.1696,-6960.5004,150.1229,197.0363,34.0570
0.9400,52.6961,65.8487,-106.8717,0.0000,137.1489,92.8067,0.0000,-20572.3393,-13921.0009,151.1756,198.4180,46.0992
0.9500,52.6961,66.3659,-106.5217,0.0000,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,151.3495,198.6462,48.8259
0.9600,50.1670,69.0450,-107.0116,-670.6896,710.4765,-129.8945,-100603.4327,106571.4784,-19484.1805,157.7557,189.1227,57.3587
0.9700,38.8351,81.0491,-109.2062,-1509.0515,1598.5722,-292.2627,-50301.7163,53285.7392,-9742.0903,176.5920,142.1620,92.8674
0.9800,22.8923,97.9377,-112.2939,-1509.0515,1598.5722,-292.2627,50301.7163,-53285.7392,9742.0903,174.5947,73.7240,133.6444
0.9900,11.5604,109.9418,-114.4886,-670.6896,710.4765,-129.8945,100603.4327,-106571.4784,19484.1805,154.8358,31.6718,154.9378
1.0000,9.0314,112.6209,-114.9784,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,148.7467,23.6427,158.7483
