t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.3900,3.2166,118.4502,-129.3264,16.7450,-12.3502,33.7695,15.8472,-33.2085,67.7287,106.1774,5.9671,169.0814
0.4000,3.3849,118.3251,-128.9853,16.8875,-12.6751,34.4230,12.6677,-31.7039,62.8992,106.6439,6.3075,169.7706
0.4100,3.5544,118.1967,-128.6380,16.9984,-12.9843,35.0274,9.5154,-30.0798,57.9034,107.1182,6.6537,170.4714
0.4200,3.7248,118.0654,-128.2848,17.0778,-13.2767,35.5811,6.4015,-28.3393,52.7525,107.5997,7.0050,171.1827
0.4300,3.8959,117.9312,-127.9263,17.1264,-13.5511,36.0825,3.3364,-26.4861,47.4578,108.0875,7.3609,171.9034
0.4400,4.0674,117.7944,-127.5631,17.1446,-13.8064,36.5303,0.3297,-24.5247,42.0306,108.5809,7.7210,172.6324
0.4500,4.2388,117.6551,-127.1957,17.1330,-14.0416,36.9231,-2.6102,-22.4598,36.4826,109.0792,8.0846,173.3685
0.4600,4.4100,117.5135,-126.8247,17.0924,-14.2556,37.2599,-5.4756,-20.2969,30.8255,109.5814,8.4511,174.1106
0.4700,4.5807,117.3699,-126.4505,17.0235,-14.4475,37.5396,-8.2599,-18.0420,25.0714,110.0870,8.8200,174.8575
0.4800,4.7505,117.2246,-126.0739,16.9272,-14.6164,37.7613,-10.9570,-15.7014,19.2324,110.5950,9.1907,175.6080
0.4900,4.9192,117.0776,-125.6953,16.8043,-14.7615,37.9243,-13.5620,-13.2821,13.3211,111.1046,9.5625,176.3609
0.5000,5.0866,116.9293,-125.3154,16.6559,-14.8821,38.0278,-16.0707,-10.7914,7.3502,111.6150,9.9350,177.1150
0.5100,5.2523,116.7800,-124.9348,16.4829,-14.9773,38.0713,-18.4794,-8.2369,1.3330,112.1254,10.3075,177.8691
0.5200,5.4162,116.6298,-124.5540,16.2863,-15.0468,38.0544,-20.7854,-5.6267,-4.7172,112.6350,10.6793,178.6220
0.5300,5.5780,116.4790,-124.1737,16.0672,-15.0899,37.9769,-22.9865,-2.9692,-10.7865,113.1430,11.0500,179.3725
0.5400,5.7376,116.3280,-123.7944,15.8266,-15.1062,37.8387,-25.0811,-0.2731,-16.8607,113.6486,11.4189,180.1194
0.5500,5.8946,116.1769,-123.4169,15.5656,-15.0953,37.6397,-27.0680,2.4527,-22.9253,114.1508,11.7854,180.8615
0.5600,6.0489,116.0261,-123.0417,15.2852,-15.0571,37.3802,-28.9468,5.1988,-28.9652,114.6491,12.1490,181.5976
0.5700,6.2003,115.8758,-122.6693,14.9866,-14.9914,37.0604,-30.7171,7.9560,-34.9652,115.1425,12.5091,182.3266
0.5800,6.3486,115.7263,-122.3004,14.6709,-14.8980,36.6809,-32.3791,10.7145,-40.9093,115.6303,12.8650,183.0473
0.5900,6.4937,115.5778,-121.9357,14.3391,-14.7771,36.2422,-33.9333,13.4645,-46.7814,116.1118,13.2163,183.7586
0.6000,6.6354,115.4307,-121.5756,13.9922,-14.6287,35.7452,-35.3803,16.1961,-52.5649,116.5861,13.5625,184.4594
0.6100,6.7735,115.2852,-121.2208,13.6315,-14.4532,35.1909,-36.7212,18.8990,-58.2428,117.0526,13.9029,185.1486
0.6200,6.9080,115.1417,-120.8718,13.2578,-14.2507,34.5804,-37.9568,21.5631,-63.7975,117.5105,14.2370,185.8252
0.6300,7.0387,115.0002,-120.5292,12.8723,-14.0219,33.9150,-39.0884,24.1782,-69.2114,117.9593,14.5645,186.4881
0.6400,7.1655,114.8612,-120.1935,12.4760,-13.7672,33.1962,-40.1171,26.7336,-74.4661,118.3981,14.8847,187.1364
0.6500,7.2882,114.7249,-119.8652,12.0700,-13.4872,32.4256,-41.0441,29.2191,-79.5434,118.8263,15.1972,187.7691
0.6600,7.4069,114.5915,-119.5450,11.6552,-13.1828,31.6053,-41.8704,31.6242,-84.4242,119.2435,15.5016,188.3854
0.6700,7.5213,114.4612,-119.2331,11.2326,-12.8547,30.7372,-42.5971,33.9384,-89.0895,119.6489,15.7974,188.9843
0.6800,7.6315,114.3344,-118.9302,10.8032,-12.5040,29.8235,-43.2251,36.1512,-93.5200,120.0420,16.0842,189.5651
0.6900,7.7374,114.2111,-118.6367,10.3681,-12.1317,28.8668,-43.7551,38.2522,-97.6961,120.4223,16.3618,190.1270
0.7000,7.8389,114.0917,-118.3529,9.9281,-11.7390,27.8696,-44.1877,40.2310,-101.5981,120.7893,16.6296,190.6693
0.7100,7.9360,113.9764,-118.0793,9.4843,-11.3271,26.8348,-44.5231,42.0773,-105.2063,121.1427,16.8874,191.1913
0.7200,8.0286,113.8652,-117.8162,9.0376,-10.8974,25.7655,-44.7613,43.7811,-108.5006,121.4818,17.1349,191.6924
0.7300,8.1167,113.7584,-117.5640,8.5891,-10.4515,24.6648,-44.9021,45.3322,-111.4612,121.8066,17.3719,192.1722
0.7400,8.2004,113.6562,-117.3229,8.1396,-9.9908,23.5362,-44.9449,46.7208,-114.0683,122.1165,17.5980,192.6300
0.7500,8.2795,113.5586,-117.0932,7.6902,-9.5171,22.3834,-44.8887,47.9372,-116.3021,122.4113,17.8131,193.0656
0.7600,8.3542,113.4658,-116.8752,7.2418,-9.0320,21.2102,-44.7322,48.9719,-118.1430,122.6908,18.0171,193.4785
0.7700,8.4243,113.3780,-116.6690,6.7955,-8.5376,20.0206,-44.4737,49.8156,-119.5716,122.9548,18.2097,193.8686
0.7800,8.4901,113.2951,-116.4748,6.3524,-8.0357,18.8188,-44.1110,50.4595,-120.5687,123.2032,18.3910,194.2355
0.7900,8.5514,113.2172,-116.2927,5.9133,-7.5284,17.6092,-43.6416,50.8947,-121.1155,123.4359,18.5608,194.5793
0.8000,8.6083,113.1445,-116.1226,5.4795,-7.0178,16.3964,-43.0625,51.1130,-121.1935,123.6528,18.7191,194.8999
0.8100,8.6610,113.0769,-115.9647,5.0521,-6.5062,15.1853,-42.3701,51.1061,-120.7847,123.8541,18.8660,195.1973
0.8200,8.7094,113.0144,-115.8189,4.6321,-5.9957,13.9808,-41.5606,50.8665,-119.8713,124.0398,19.0015,195.4717
0.8300,8.7536,112.9570,-115.6851,4.2209,-5.4888,12.7879,-40.6295,50.3866,-118.4362,124.2101,19.1258,195.7232
0.8400,8.7938,112.9046,-115.5632,3.8195,-4.9880,11.6120,-39.5719,49.6596,-116.4626,124.3652,19.2390,195.9523
0.8500,8.8300,112.8572,-115.4529,3.4294,-4.4956,10.4586,-38.3824,48.6786,-113.9344,124.5054,19.3412,196.1594
0.8600,8.8624,112.8147,-115.3540,3.0519,-4.0144,9.3333,-37.0553,47.4375,-110.8358,124.6309,19.4329,196.3449
0.8700,8.8910,112.7769,-115.2662,2.6883,-3.5469,8.2419,-35.5842,45.9303,-107.1516,124.7423,19.5142,196.5095
0.8800,8.9161,112.7438,-115.1892,2.3402,-3.0958,7.1903,-33.9624,44.1513,-102.8672,124.8401,19.5855,196.6540
0.8900,8.9378,112.7150,-115.1224,2.0091,-2.6639,6.1846,-32.1829,42.0953,-97.9682,124.9247,19.6472,196.7790
0.9000,8.9563,112.6905,-115.0655,1.6965,-2.2539,5.2309,-30.2380,39.7574,-92.4408,124.9969,19.6999,196.8856
0.9100,8.9718,112.6699,-115.0178,1.4043,-1.8687,4.3358,-28.1201,37.1327,-86.2717,125.0573,19.7440,196.9749
0.9200,8.9844,112.6531,-114.9788,1.1341,-1.5112,3.5055,-25.8209,34.2169,-79.4477,125.1068,19.7801,197.0479
0.9300,8.9945,112.6397,-114.9477,0.8879,-1.1844,2.7468,-23.3323,31.0056,-71.9559,125.1461,19.8088,197.1061
0.9400,9.0022,112.6294,-114.9238,0.6675,-0.8911,2.0664,-20.6459,27.4946,-63.7836,125.1763,19.8309,197.1507
0.9500,9.0078,112.6219,-114.9064,0.4750,-0.6345,1.4711,-17.7532,23.6796,-54.9183,125.1985,19.8470,197.1834
0.9600,9.0117,112.6167,-114.8944,0.3124,-0.4175,0.9680,-14.6460,19.5565,-45.3471,125.2136,19.8580,197.2058
0.9700,9.0141,112.6135,-114.8870,0.1821,-0.2434,0.5642,-11.3162,15.1207,-35.0573,125.2230,19.8649,197.2196
0.9800,9.0153,112.6119,-114.8831,0.0861,-0.1151,0.2669,-7.7560,10.3677,-24.0357,125.2279,19.8685,197.2269
0.9900,9.0158,112.6112,-114.8817,0.0269,-0.0360,0.0835,-3.9635,5.2991,-12.2847,125.2297,19.8698,197.2296
1.0000,9.0159,112.6111,-114.8814,0.0068,-0.0091,0.0212,-2.0097,2.6871,-6.2292,125.2300,19.8700,197.2300
1.0100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.0200,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.0300,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.0400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.0500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
