t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
0.3800,55.2175,104.6392,-133.5711,-2598.1188,299.1440,-200.0072,39807.5449,-77793.1842,64793.0708,86.7353,124.8769,87.0780
0.3900,29.2363,107.6306,-135.5711,-1129.8649,-529.3107,359.9239,73412.6942,-41422.7366,27996.5550,126.0926,70.5755,87.2053
0.4000,17.9376,102.3375,-131.9719,-1129.8649,-529.3107,359.9239,0.0000,0.0000,0.0000,150.3153,48.6595,86.8395
0.4100,18.7375,101.1342,-130.9255,67.1694,-272.9304,-69.8266,-1157.7552,-19773.8503,-18038.1115,152.8949,51.8637,87.1803
0.4200,19.4092,98.4049,-131.6238,56.8366,-515.8044,-256.1254,-927.5515,-16836.6585,-6207.7568,154.9390,54.5907,79.4557
0.4300,19.9776,93.2469,-134.1851,48.6183,-609.6635,-193.9817,-757.1218,8593.9965,12367.4014,155.8045,56.6392,61.7670
0.4400,20.4638,87.1502,-136.1249,41.6941,-343.9245,-8.7774,-346.2099,13286.9532,9260.2164,156.5547,58.4206,43.9819
0.4500,20.8807,83.7110,-136.2127,41.6941,-343.9245,-8.7774,0.0000,0.0000,0.0000,158.1725,60.3392,36.1100
0.4600,21.2369,83.2716,-135.4502,30.4916,248.9674,141.5091,-468.8424,30320.7685,9332.6978,159.8217,62.1091,36.5738
0.4700,21.5418,85.7613,-134.0351,26.2391,562.4809,262.9037,-385.7243,10015.1151,9558.8612,161.0156,63.5614,45.1677
0.4800,21.8042,91.3861,-131.4060,22.7771,449.2697,332.6863,-323.0375,-22148.1566,-3056.9974,161.0816,64.4417,64.1977
0.4900,22.0320,95.8788,-128.0792,19.7784,119.5178,201.7637,-149.9350,-16487.5981,-6546.1265,161.1803,65.2256,83.1347
0.5000,22.2297,97.0740,-126.0615,19.7784,119.5178,201.7637,0.0000,0.0000,0.0000,162.2553,66.3134,91.3984
0.5100,22.4005,96.5333,-125.6580,786.3032,73.3372,-69.1321,89213.5461,1106.5599,-883.7350,163.4227,67.3598,91.2229
0.5200,30.2636,97.2667,-126.3494,1801.3508,-31.9370,22.6750,45142.1086,-35809.6806,30942.8742,150.7510,87.9632,91.0615
0.5300,48.2771,96.9473,-126.1226,1689.1454,-642.8564,549.7254,-63432.6221,-24114.6541,24374.2816,116.7282,130.9074,90.9315
0.5400,65.1685,90.5188,-120.6253,532.6983,-514.2301,510.1606,-57822.3542,6431.3170,-1978.2390,81.5070,176.1432,89.7028
0.5500,70.4955,85.3765,-115.5237,532.6983,-514.2301,510.1606,0.0000,0.0000,0.0000,70.1691,198.1021,89.0138
0.5600,69.7848,84.8984,-114.9575,-61.5091,-169.8842,-74.5116,885.5330,-15075.1665,-13687.9795,73.1862,198.7511,89.1260
0.5700,69.1697,83.1995,-115.7027,-53.3646,-349.3109,-217.1394,750.3618,-11506.0022,-4810.5653,75.7856,199.1893,82.0114
0.5800,68.6360,79.7064,-117.8741,-46.5018,-400.0043,-170.7229,641.0602,6753.4439,9429.8354,77.8424,198.9985,65.8694
0.5900,68.1710,75.7064,-119.5813,-40.5434,-214.2420,-28.5427,297.9210,9288.1133,7109.0075,79.6455,198.8360,49.6723
0.6000,67.7656,73.5640,-119.8667,-40.5434,-214.2420,-28.5427,0.0000,0.0000,0.0000,81.4623,199.2750,42.5045
0.6100,67.4129,73.3606,-119.4421,-30.6903,172.0785,100.5233,424.9610,20492.4298,7891.5002,83.1152,199.7984,42.8038
