q1_deg,q2_deg,q3_deg
9.0159,112.6111,-114.8814
9.0159,112.6111,-114.8814
9.0159,112.6111,-114.8814
9.0160,112.6107,-114.8817
9.0170,112.6078,-114.8834
9.0196,112.6001,-114.8879
9.0246,112.5853,-114.8965
9.0327,112.5615,-114.9105
9.0445,112.5267,-114.9308
9.0606,112.4791,-114.9586
9.0817,112.4172,-114.9948
9.1081,112.3394,-115.0403
9.1403,112.2443,-115.0959
9.1789,112.1307,-115.1623
9.2241,111.9975,-115.2402
9.2763,111.8436,-115.3301
9.3358,111.6683,-115.4326
9.4029,111.4706,-115.5482
9.4777,111.2500,-115.6771
9.5606,111.0060,-115.8198
9.6515,110.7379,-115.9765
9.7507,110.4457,-116.1474
9.8582,110.1288,-116.3326
9.9741,109.7873,-116.5322
10.0984,109.4211,-116.7463
10.2311,109.0301,-116.9749
10.3721,108.6146,-117.2178
10.5213,108.1747,-117.4750
10.6788,107.7107,-117.7462
10.8443,107.2229,-118.0314
11.0177,106.7119,-118.3301
11.1989,106.1780,-118.6422
11.3876,105.6219,-118.9673
11.5837,105.0442,-119.3051
11.7868,104.4456,-119.6550
11.9968,103.8269,-120.0167
12.2133,103.1889,-120.3897
12.4361,102.5323,-120.7735
12.6648,101.8583,-121.1676
12.8992,101.1676,-121.5713
13.1388,100.4614,-121.9842
13.3834,99.7406,-122.4055
13.6326,99.0064,-122.8348
13.8859,98.2598,-123.2712
14.1431,97.5021,-123.7142
14.4036,96.7343,-124.1630
14.6671,95.9577,-124.6170
14.9332,95.1735,-125.0755
15.2015,94.3830,-125.5376
15.4715,93.5873,-126.0028
15.7428,92.7878,-126.4702
16.0150,91.9857,-126.9391
16.2876,91.1823,-127.4087
16.5603,90.3790,-127.8784
16.8324,89.5769,-128.3473
17.1038,88.7774,-128.8147
17.3738,87.9817,-129.2798
17.6420,87.1911,-129.7420
17.9082,86.4069,-130.2004
18.1717,85.6303,-130.6544
18.4322,84.8625,-131.1033
18.6894,84.1048,-131.5463
18.9427,83.3582,-131.9827
19.1919,82.6240,-132.4119
19.4365,81.9032,-132.8333
19.6761,81.1970,-133.2461
19.9105,80.5064,-133.6499
20.1392,79.8323,-134.0439
20.3620,79.1758,-134.4277
20.5785,78.5377,-134.8008
20.7885,77.9190,-135.1625
20.9916,77.3204,-135.5124
21.1877,76.7427,-135.8501
21.3764,76.1866,-136.1752
21.5575,75.6528,-136.4873
21.7310,75.1417,-136.7861
21.8965,74.6539,-137.0712
22.0540,74.1899,-137.3425
22.2032,73.7500,-137.5996
22.3442,73.3345,-137.8426
22.4769,72.9435,-138.0711
22.6012,72.5773,-138.2852
22.7171,72.2358,-138.4849
22.8246,71.9190,-138.6701
22.9238,71.6267,-138.8409
23.0147,71.3587,-138.9976
23.0976,71.1146,-139.1403
23.1724,70.8940,-139.2693
23.2395,70.6964,-139.3848
23.2990,70.5210,-139.4873
