Timestamp,Data 0,Data 1,Data 2,Data 3,Data 4
29:13,16.00200080871582,-0.0,-0.0,0.0,-0.0
29:13,16.003999710083008,-0.0,-0.0,0.0,-0.0
29:13,16.006000518798828,-0.0,-0.0,0.0,-0.0
29:13,16.007999420166016,-0.0,-0.0,0.0,-0.0
29:13,16.010000228881836,-0.0,-0.0,0.0,-0.0
29:13,16.011999130249023,-0.0,-0.0,0.0,-0.0
29:13,16.013999938964844,-0.0,-0.0,0.0,-0.0
29:13,16.016000747680664,-0.0,-0.0,0.0,-0.0
29:13,16.01799964904785,-0.0,-0.0,0.0,-0.0
29:13,16.020000457763672,-0.0,-0.0,0.0,-0.0
29:13,16.02199935913086,-0.0,-0.0,0.0,-0.0
29:13,16.02400016784668,-0.0,-0.0,0.0,-0.0
29:13,16.025999069213867,-0.0,-0.0,0.0,-0.0
29:13,16.027999877929688,-0.0,-0.0,0.0,-0.0
29:13,16.030000686645508,-0.0,-0.0,0.0,-0.0
29:13,16.031999588012695,-0.0,-0.0,0.0,-0.0
29:13,16.034000396728516,-0.0,-0.0,0.0,-0.0
29:13,16.035999298095703,-0.0,-0.0,0.0,-0.0
29:13,16.038000106811523,-0.0,-0.0,0.0,-0.0
29:13,16.040000915527344,-0.0,-0.0,0.0,-0.0
29:13,16.04199981689453,-0.0,-0.0,0.0,-0.0
29:13,16.04400062561035,-0.0,-0.0,0.0,-0.0
29:13,16.04599952697754,-0.0,-0.0,0.0,-0.0
29:13,16.04800033569336,-0.0,-0.0,0.0,-0.0
29:13,16.049999237060547,-0.0,-0.0,0.0,-0.0
29:13,16.052000045776367,-0.0,-0.0,0.0,-0.0
29:13,16.054000854492188,-0.0,-0.0,0.0,-0.0
29:13,16.055999755859375,-0.0,-0.0,0.0,-0.0
29:13,16.058000564575195,-0.0,-0.0,0.0,-0.0
29:14,16.059999465942383,-0.0,-0.0,0.0,-0.0
29:14,16.062000274658203,-0.0,-0.0,0.0,-0.0
29:14,16.06399917602539,-0.0,-0.0,0.0,-0.0
29:14,16.06599998474121,-0.0,-0.0,0.0,-0.0
29:14,16.06800079345703,-0.0,-0.0,0.0,-0.0
29:14,16.06999969482422,-0.0,-0.0,0.0,-0.0
29:14,16.07200050354004,-0.0,-0.0,0.0,-0.0
29:14,16.073999404907227,-0.0,-0.0,0.0,-0.0
29:14,16.076000213623047,-0.0,-0.0,0.0,-0.0
29:14,16.077999114990234,-0.0,-0.0,0.0,-0.0
29:14,16.079999923706055,-0.0,-0.0,0.0,-0.0
29:14,16.082000732421875,-0.0,-0.0,0.0,-0.0
29:14,16.083999633789062,-0.0,-0.0,0.0,-0.0
29:14,16.086000442504883,-0.0,-0.0,0.0,-0.0
29:14,16.08799934387207,-0.0,-0.0,0.0,-0.0
29:14,16.09000015258789,-0.0,-0.0,0.0,-0.0
29:14,16.091999053955078,-0.0,-0.0,0.0,-0.0
29:14,16.0939998626709,-0.0,-0.0,0.0,-0.0
29:14,16.09600067138672,-0.0,-0.0,0.0,-0.0
29:14,16.097999572753906,-0.0,-0.0,0.0,-0.0
29:14,16.100000381469727,-0.0,-0.0,0.0,-0.0
29:14,16.101999282836914,-0.0,-0.0,0.0,-0.0
29:14,16.104000091552734,-0.0,-0.0,0.0,-0.0
29:14,16.106000900268555,-0.0,-0.0,0.0,-0.0
29:14,16.107999801635742,-0.0,-0.0,0.0,-0.0
29:14,16.110000610351562,-0.0,-0.0,0.0,-0.0
29:14,16.11199951171875,-0.0,-0.0,0.0,-0.0
29:14,16.11400032043457,-0.0,-0.0,0.0,-0.0
29:14,16.115999221801758,-0.0,-0.0,0.0,-0.0
29:14,16.118000030517578,-0.0,-0.0,0.0,-0.0
29:14,16.1200008392334,-0.0,-0.0,0.0,-0.0
29:14,16.121999740600586,-0.0,-0.0,0.0,-0.0
29:14,16.124000549316406,-0.0,-0.0,0.0,-0.0
29:14,16.125999450683594,-0.0,-0.0,0.0,-0.0
29:14,16.128000259399414,-0.0,-0.0,0.0,-0.0
29:14,16.1299991607666,-0.0,-0.0,0.0,-0.0
29:14,16.131999969482422,-0.0,-0.0,0.0,-0.0
